,SARSA,MCCONTROL,QLEARNING,DQLEARNING
0,0.9890000000000001,-2.000000000000001,0.99,0.9890000000000001
1,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.9940000000000001
2,0.995,-2.000000000000001,0.995,0.995
3,0.996,0.996,0.996,0.996
4,0.986,-2.000000000000001,0.986,0.986
5,-2.000000000000001,-1.008,-2.000000000000001,-2.000000000000001
6,0.997,0.997,0.997,0.992
7,0.992,-2.000000000000001,0.992,0.992
8,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
9,0.981,-2.000000000000001,0.981,-2.000000000000001
10,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.9940000000000001
11,-2.000000000000001,-1.018,-2.000000000000001,-2.000000000000001
12,0.994,0.994,0.994,0.994
13,0.998,0.998,0.998,0.998
14,0.991,0.982,0.991,0.991
15,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
16,0.995,0.995,0.995,0.995
17,0.996,0.988,0.996,0.996
18,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
19,0.994,0.992,0.994,0.994
20,0.984,-1.0,0.986,-2.000000000000001
21,0.997,0.997,0.997,0.997
22,0.999,0.999,0.999,0.999
23,0.991,0.987,0.991,0.991
24,0.989,-2.000000000000001,0.989,0.989
25,0.994,0.994,0.994,0.994
26,0.984,-1.001,0.984,-2.000000000000001
27,0.982,-1.003,0.986,-2.000000000000001
28,0.986,-1.0,0.986,-2.000000000000001
29,0.999,0.999,0.999,0.999
30,0.999,0.999,0.999,0.999
31,0.988,-1.0,0.992,0.99
32,0.997,0.997,0.997,0.997
33,0.998,0.998,0.998,0.998
34,0.994,-2.000000000000001,0.994,0.994
35,0.985,-1.002,0.987,-2.000000000000001
36,0.989,0.985,0.989,0.987
37,0.999,0.999,0.999,0.999
38,0.992,0.99,0.992,-2.000000000000001
39,0.993,0.993,0.995,0.993
40,0.994,0.994,0.994,0.994
41,0.994,0.992,0.994,0.994
42,0.995,0.995,0.995,0.995
43,0.99,-1.001,0.99,0.989
44,0.998,0.998,0.998,0.998
45,0.988,-1.0,0.99,0.99
46,0.99,-1.001,0.99,0.99
47,0.99,-2.000000000000001,0.99,-2.000000000000001
48,0.995,0.997,0.997,0.997
49,0.981,0.975,0.983,-2.000000000000001
50,0.997,0.997,0.997,0.997
51,0.998,0.996,0.998,0.998
52,0.996,-2.000000000000001,0.996,0.996
53,0.99,0.988,0.99,-2.000000000000001
54,0.997,0.997,0.997,0.997
55,0.9890000000000001,-2.000000000000001,0.9890000000000001,0.987
56,0.987,-1.001,0.987,-2.000000000000001
57,0.993,0.993,0.995,0.995
58,0.996,0.996,0.996,0.9940000000000001
59,0.9940000000000001,0.997,0.997,0.995
60,0.995,0.995,0.995,0.995
61,0.998,0.998,0.998,0.998
62,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
63,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.992
64,0.977,-1.001,0.977,-2.000000000000001
65,0.997,0.997,0.997,0.997
66,0.986,-2.000000000000001,0.986,-2.000000000000001
67,0.998,0.996,0.998,0.998
68,0.9940000000000001,0.9940000000000001,0.9940000000000001,0.9940000000000001
69,0.995,0.995,0.997,0.997
70,0.987,0.9890000000000001,0.9890000000000001,-2.000000000000001
71,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
72,0.993,-1.002,0.993,0.992
73,0.998,0.998,0.998,0.998
74,0.976,-1.003,-2.000000000000001,-2.000000000000001
75,0.986,-1.001,0.99,-2.000000000000001
76,0.992,0.988,0.992,0.99
77,0.992,0.992,0.992,0.99
78,0.993,0.985,0.993,0.993
79,0.998,0.998,0.998,0.998
80,0.986,0.9840000000000001,0.986,0.986
81,0.993,0.99,0.993,0.993
82,0.996,0.996,0.996,0.9940000000000001
83,0.991,0.987,0.991,0.991
84,0.992,-2.000000000000001,0.992,0.992
85,0.998,0.998,0.998,0.998
86,0.977,-2.000000000000001,-2.000000000000001,-2.000000000000001
87,0.9890000000000001,0.987,0.9890000000000001,0.987
88,0.983,-1.001,0.986,-2.000000000000001
89,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
90,0.988,0.986,0.988,-2.000000000000001
91,0.9990000000000001,0.998,0.9990000000000001,0.9990000000000001
92,0.9840000000000001,-1.0,0.9840000000000001,-2.000000000000001
93,0.998,0.998,0.998,0.998
94,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
95,0.991,-2.000000000000001,0.991,0.991
96,0.995,0.995,0.995,0.995
97,0.978,-1.001,0.98,-2.000000000000001
98,0.998,0.998,0.998,0.998
99,0.997,0.997,0.997,0.997
100,-2.000000000000001,-1.007,-2.000000000000001,-2.000000000000001
101,0.99,0.99,0.99,0.986
102,0.978,-1.0,0.978,-2.000000000000001
103,0.989,0.991,0.993,0.993
104,1.0,1.0,1.0,1.0
105,0.976,-1.001,0.988,-2.000000000000001
106,0.994,0.996,0.996,0.996
107,0.994,0.992,0.994,0.994
108,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
109,0.992,0.992,0.994,0.994
110,0.984,-2.000000000000001,0.986,-2.000000000000001
111,0.993,-1.0,0.993,0.993
112,0.985,0.98,0.985,-2.000000000000001
113,0.994,-2.000000000000001,0.994,0.994
114,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0
116,0.995,0.995,0.995,0.995
117,0.994,0.992,0.994,0.99
118,0.997,0.997,0.997,0.997
119,0.987,-2.000000000000001,0.987,0.987
120,0.993,0.991,0.993,0.989
121,0.999,0.999,0.999,0.999
122,0.988,-1.0,0.99,-2.000000000000001
123,-2.000000000000001,-1.01,-2.000000000000001,-2.000000000000001
124,0.989,0.981,0.989,0.985
