,SARSA,MCCONTROL,QLEARNING,DQLEARNING
0,0.996,0.996,0.996,0.996
1,0.993,0.991,0.993,-2.000000000000001
2,0.995,0.995,0.995,0.995
3,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
4,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
5,0.998,0.998,0.998,0.998
6,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
7,0.996,-2.000000000000001,0.996,0.996
8,-2.000000000000001,0.9940000000000001,-2.000000000000001,-2.000000000000001
9,-2.000000000000001,-1.005,-2.000000000000001,-2.000000000000001
10,0.998,0.998,0.998,0.998
11,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
12,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
13,0.9940000000000001,0.992,0.9940000000000001,-2.000000000000001
14,1.0,1.0,1.0,1.0
15,0.996,0.9940000000000001,0.996,0.996
16,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
17,0.998,-2.000000000000001,0.998,0.998
18,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
19,0.998,0.998,0.998,0.998
20,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
21,0.997,0.997,0.997,0.997
22,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
23,-2.000000000000001,-2.000000000000001,0.991,-2.000000000000001
24,0.9890000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
25,0.9940000000000001,-2.000000000000001,0.9940000000000001,-2.000000000000001
26,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
27,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
28,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
29,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
30,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
31,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
32,0.997,0.997,0.997,-2.000000000000001
33,0.998,0.998,0.998,0.998
34,-2.000000000000001,-2.000000000000001,0.9940000000000001,-2.000000000000001
35,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
36,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
37,0.9990000000000001,0.9990000000000001,0.9990000000000001,0.9990000000000001
38,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
39,-2.000000000000001,0.993,0.995,-2.000000000000001
40,-2.000000000000001,0.9940000000000001,0.9940000000000001,-2.000000000000001
41,-2.000000000000001,0.992,0.9940000000000001,-2.000000000000001
42,0.995,0.995,0.995,-2.000000000000001
43,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
44,0.998,0.998,0.998,0.998
45,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
46,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
47,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
48,0.993,0.997,0.997,-2.000000000000001
49,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
50,0.997,0.997,0.997,0.997
51,0.998,0.996,0.998,0.998
52,0.996,-2.000000000000001,0.996,0.996
53,-2.000000000000001,0.988,-2.000000000000001,-2.000000000000001
54,0.997,0.997,0.997,0.997
55,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
56,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
57,-2.000000000000001,0.993,0.995,-2.000000000000001
58,0.99,0.996,0.996,-2.000000000000001
59,0.994,0.997,0.997,-2.000000000000001
60,0.995,0.995,0.995,0.995
61,0.998,0.998,0.998,0.998
62,0.999,0.999,0.999,0.999
63,0.994,0.994,0.994,-2.000000000000001
64,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
65,0.997,-2.000000000000001,0.997,0.997
66,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
67,0.998,-2.000000000000001,0.998,0.998
68,-2.000000000000001,0.994,0.994,-2.000000000000001
69,-2.000000000000001,0.995,0.997,0.997
70,-2.000000000000001,0.989,-2.000000000000001,-2.000000000000001
71,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
72,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
73,0.998,0.998,0.998,0.998
74,-2.000000000000001,-1.003,-2.000000000000001,-2.000000000000001
75,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
76,-2.000000000000001,-2.000000000000001,0.992,-2.000000000000001
77,-2.000000000000001,-2.000000000000001,0.992,-2.000000000000001
78,-2.000000000000001,0.985,0.993,-2.000000000000001
79,0.998,0.998,0.998,0.998
80,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
81,-2.000000000000001,0.99,0.992,-2.000000000000001
82,0.996,0.996,0.996,-2.000000000000001
83,-2.000000000000001,0.987,-2.000000000000001,-2.000000000000001
84,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
85,0.998,0.998,0.998,0.998
86,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
87,-2.000000000000001,0.987,0.989,-2.000000000000001
88,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
89,0.999,0.999,0.999,0.999
90,-2.000000000000001,0.986,-2.000000000000001,-2.000000000000001
91,0.999,0.998,0.999,0.999
92,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
93,0.998,0.998,0.998,0.998
94,0.999,0.999,0.999,0.999
95,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
96,0.995,0.995,0.995,-2.000000000000001
97,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
98,0.998,0.998,0.998,0.998
99,0.997,0.997,0.997,0.997
100,-2.000000000000001,-1.007,-2.000000000000001,-2.000000000000001
101,-2.000000000000001,0.99,-2.000000000000001,-2.000000000000001
102,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
103,-2.000000000000001,0.991,-2.000000000000001,-2.000000000000001
104,1.0,1.0,1.0,1.0
105,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
106,0.994,0.996,0.996,-2.000000000000001
107,0.994,0.992,0.994,-2.000000000000001
108,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
109,-2.000000000000001,0.992,-2.000000000000001,-2.000000000000001
110,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
111,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
112,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
113,0.994,-2.000000000000001,0.994,-2.000000000000001
114,1.0,1.0,1.0,1.0
115,1.0,1.0,1.0,1.0
116,0.995,0.995,0.995,-2.000000000000001
117,0.994,0.992,0.994,-2.000000000000001
118,0.997,0.997,0.997,0.997
119,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
120,0.993,0.991,-2.000000000000001,-2.000000000000001
121,0.999,0.999,0.999,0.999
122,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
123,-2.000000000000001,-1.01,-2.000000000000001,-2.000000000000001
124,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
125,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
126,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
127,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
128,-2.000000000000001,-1.001,-2.000000000000001,-2.000000000000001
129,1.0,1.0,1.0,1.0
130,0.996,-2.000000000000001,0.996,0.996
131,0.998,0.998,0.998,0.998
132,0.998,0.998,0.998,0.998
133,-2.000000000000001,0.997,0.997,0.997
134,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
135,-2.000000000000001,-1.002,-2.000000000000001,-2.000000000000001
136,0.999,0.999,0.999,0.999
137,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
138,-2.000000000000001,-1.006,-2.000000000000001,-2.000000000000001
139,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
140,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
141,0.999,0.999,0.999,0.999
142,0.995,0.995,0.995,-2.000000000000001
143,-2.000000000000001,0.988,-2.000000000000001,-2.000000000000001
144,-2.000000000000001,-1.0,-2.000000000000001,-2.000000000000001
145,-2.000000000000001,-2.000000000000001,-2.000000000000001,-2.000000000000001
146,0.995,-2.000000000000001,0.995,-2.000000000000001
147,0.996,0.996,0.996,-2.000000000000001
148,0.999,0.999,0.999,0.999
149,-2.000000000000001,0.982,-2.000000000000001,-2.000000000000001
150,0.997,0.997,0.997,0.997
